Date,BSE_Code,BSE_Volume,BSE_Delivery,Price,PrevClose,Segment,Traded_Value_lacs
230120,538567,1062,903,412.4,414.4,B ,3.72
230120,538568,11391,11391,48.3,46.55,XT,5.5
230120,538569,60218,43960,2.45,2.45,X ,1.08
230120,538596,985,979,3.7,3.78,X ,0.04
230120,538597,14311,12679,14.48,14.32,X ,1.84
230120,538598,28158,17614,20.45,20.45,B ,3.6
230120,538607,3113335,1551794,17.8,17.8,X ,276.22
230120,538610,12994,12994,20.5,20.5,X ,2.66
230120,538611,867,867,31.45,30.0,Z ,0.27
230120,538634,700,700,142.0,143.9,XT,0.99
230120,538635,136192,27008,37.75,37.75,B ,10.2
230120,538646,1886,1675,45.85,45.35,X ,0.77
230120,538666,7341,3663,479.6,479.4,A ,17.57
230120,538668,5000,5000,84.0,85.0,M ,4.2
230120,538674,545,545,5.99,6.28,Z ,0.03
230120,538683,692,550,669.33,670.71,A ,3.68
230120,538685,37546,30723,143.25,150.75,B ,44.01
230120,538706,179103,123659,26.35,27.05,X ,32.58
230120,538707,406,325,35.45,34.6,X ,0.12
230120,538708,722,587,9.5,9.4,X ,0.06
230120,538713,4101,2937,33.85,32.2,X ,0.99
230120,538714,118,118,53.45,51.95,X ,0.06
230120,538715,1957,1741,125.45,127.95,X ,2.18
230120,538730,5239,4349,330.9,339.35,B ,14.39
230120,538732,312,276,52.85,51.8,B ,0.15
230120,538733,14161,11417,7.16,7.6,B ,0.82
230120,538734,2729,2571,152.35,151.0,B ,3.92
230120,538770,19734,15803,13.82,14.35,X ,2.18
230120,538772,2138,922,37.4,37.4,X ,0.34
230120,538778,16718,12991,89.9,88.85,X ,11.68
230120,538787,6591,5402,7.51,7.64,X ,0.41
230120,538788,6695,6695,16.3,16.3,XT,1.09
230120,538795,336,256,279.3,270.0,X ,0.72
230120,538812,31329,31329,16.8,17.3,XT,5.26
230120,538817,2500,2000,594.5,550.0,M ,11.89
230120,538833,2224,2224,10.88,10.37,X ,0.24
230120,538834,13696,13136,21.35,20.35,X ,2.8
230120,538835,23928,12459,410.9,420.05,A ,51.19
230120,538836,2251,1133,657.8,658.25,B ,7.45
230120,538837,9937,9749,56.55,57.0,X ,5.51
230120,538838,572,572,62.85,60.3,XT,0.36
230120,538857,76,76,5.05,5.3,XT,0.0
230120,538860,225327,177737,1.24,1.23,X ,2.2
230120,538862,2,2,10.51,10.51,XT,0.0
230120,538868,4145,3197,41.0,41.7,X ,1.31
230120,538874,1752,1202,12.85,13.0,X ,0.15
230120,538875,123093,119982,16.95,17.0,X ,20.34
230120,538881,3951,3951,14.49,14.45,XT,0.57
230120,538882,3438,2158,33.25,33.5,X ,0.72
230120,538890,90240,40318,90.5,84.75,X ,36.49
230120,538891,10994,10994,445.35,447.5,XT,48.96
230120,538894,1039,1039,23.55,21.45,X ,0.24
230120,538895,7,7,21.05,20.05,XT,0.0
230120,538896,2868,2730,477.65,484.8,X ,13.04
230120,538902,2931,2572,237.0,238.85,B ,6.1
230120,538918,490,490,15.09,15.5,XT,0.07
230120,538920,91046,58616,53.5,53.5,X ,31.36
230120,538921,23750,23125,464.75,493.1,M ,107.47
230120,538922,11460,9958,20.7,22.75,X ,2.06
230120,538923,17711,16220,94.65,94.5,X ,15.35
230120,538928,6636,6636,166.4,174.0,XT,11.04
230120,538935,47,47,33.5,33.5,XT,0.02
230120,538942,2676,2335,17.85,17.55,X ,0.42
230120,538943,4960,4847,98.35,93.7,X ,4.77
230120,538952,1748,1748,2.08,2.02,X ,0.04
230120,538961,44712,29700,17.65,17.5,B ,5.24
230120,538962,36069,9950,228.05,231.25,A ,22.69
230120,538964,646,646,802.05,780.0,XT,5.18
230120,538965,4738,3947,31.6,32.1,X ,1.25
230120,538970,453311,158843,64.2,64.2,A ,101.98
230120,538975,68175,68175,22.75,21.7,XT,15.51
230120,538979,6938,6528,316.95,314.4,B ,20.69
230120,538987,1061,747,545.9,556.7,X ,4.08
230120,539005,2785,2785,55.75,54.1,XT,1.55
230120,539006,1324,1206,2597.35,2558.95,A ,31.32
230120,539011,1716,1113,176.7,175.65,X ,1.97
230120,539012,669,69,118.95,117.9,X ,0.08
230120,539013,2812,1904,101.35,100.65,X ,1.93
230120,539016,284,284,8.31,8.31,X ,0.02
230120,539017,467002,356667,50.15,48.95,X ,178.87
230120,539018,751,550,436.25,431.95,X ,2.4
230120,539031,75,60,195.81,196.0,A ,0.12
230120,539032,66331,58004,9.93,9.46,X ,5.76
230120,539040,51497,51497,22.5,21.45,XT,11.59
230120,539041,12500,12500,31.65,30.15,MT,3.96
230120,539042,3247,2405,489.55,472.9,B ,11.77
230120,539043,24572,24572,1.15,1.15,Z ,0.28
230120,539044,39022,25931,42.35,41.75,B ,10.98
230120,539045,1224,1043,22.85,22.65,B ,0.24
230120,539046,7169,6824,18.35,18.95,B ,1.25
230120,539056,28062,17632,36.15,36.4,B ,6.37
230120,539083,52626,5031,107.75,108.05,B ,5.42
230120,539096,413,322,10.0,9.61,X ,0.03
230120,539097,67755,34786,16.63,16.63,B ,5.78
230120,539098,15000,15000,55.0,52.4,M ,8.25
230120,539111,4141,3935,19.45,20.0,X ,0.77
230120,539112,23,12,82.0,80.1,X ,0.01
230120,539113,781,640,1396.95,1401.4,X ,8.94
230120,539115,6209,6209,59.8,60.15,XT,3.71
230120,539117,20400,20080,18.45,18.45,X ,3.7
