Date,NSE_Code,NSE_Volume,NSE_Delivery,Price,PrevClose,Traded_Value_lacs,Segment
230210,LIBERTSHOE,24145.0,11318.0,245.95,245.6,27.84,EQ
230210,LICHSGFIN,1869020.0,902610.0,377.9,380.0,3410.96,EQ
230210,LICI,3943115.0,1055826.0,620.05,613.15,6546.65,EQ
230210,LICNETFGSC,6280.0,5312.0,22.79,22.8,1.21,EQ
230210,LICNETFN50,2360.0,2357.0,192.01,193.0,4.53,EQ
230210,LICNETFSEN,11.0,6.0,656.8,658.14,0.04,EQ
230210,LICNFNHGP,144.0,67.0,189.39,189.77,0.13,EQ
230210,LIKHITHA,88973.0,42843.0,227.55,225.85,97.49,EQ
230210,LINC,42935.0,23289.0,495.25,495.15,115.34,EQ
230210,LINCOLN,26262.0,14710.0,329.4,328.5,48.45,EQ
230210,LINDEINDIA,25233.0,11595.0,3415.25,3353.2,396.0,EQ
230210,LIQUIDBEES,1541412.0,1009932.0,1000.0,1000.0,10099.32,EQ
230210,LIQUIDETF,119916.0,108709.0,999.99,1000.0,1087.08,EQ
230210,LLOYDS,6000.0,6000.0,49.25,47.2,2.96,SM
230210,LODHA,204732.0,115689.0,999.15,993.75,1155.91,EQ
230210,LOKESHMACH,55525.0,35398.0,114.35,114.15,40.48,EQ
230210,LOVABLE,7856.0,5091.0,125.4,126.8,6.38,EQ
230210,LOYALTEX,171.0,113.0,699.3,687.2,0.79,EQ
230210,LPDC,64154.0,46670.0,6.55,6.55,3.06,EQ
230210,LSIL,2631738.0,1463895.0,20.25,20.65,296.44,EQ
230210,LT,1454665.0,743797.0,2163.85,2147.4,16094.65,EQ
230210,L&TFH,9299560.0,2867690.0,95.1,93.95,2727.17,EQ
230210,LTGILTBEES,67554.0,63374.0,23.2,23.23,14.7,EQ
230210,LTIM,252444.0,158733.0,4691.6,4695.65,7447.12,EQ
230210,LTTS,75273.0,21307.0,3612.15,3622.05,769.64,EQ
230210,LUMAXIND,20462.0,9859.0,1806.0,1810.95,178.05,EQ
230210,LUMAXTECH,48463.0,24922.0,242.5,238.4,60.44,EQ
230210,LUPIN,3057253.0,1064215.0,737.15,774.35,7844.86,EQ
230210,LUXIND,172964.0,58162.0,1340.55,1421.75,779.69,EQ
230210,LXCHEM,197751.0,85051.0,269.6,268.9,229.3,EQ
230210,LYKALABS,78698.0,42682.0,124.5,121.65,53.14,EQ
230210,LYPSAGEMS,8362.0,6000.0,5.35,5.4,0.32,EQ
230210,MAANALU,50727.0,28105.0,206.35,204.5,57.99,EQ
230210,MACPOWER,10441.0,5665.0,309.75,299.55,17.55,EQ
230210,MADHAV,2415.0,1585.0,42.45,42.5,0.67,EQ
230210,MADHAVBAUG,4000.0,4000.0,205.95,210.0,8.24,SM
230210,MADHUCON,13396.0,9267.0,5.0,5.0,0.46,EQ
230210,MADRASFERT,315081.0,101373.0,57.15,58.05,57.93,EQ
230210,MAESGETF,40396.0,35398.0,29.26,29.3,10.36,EQ
230210,MAFANG,1330428.0,991535.0,46.48,47.22,460.87,EQ
230210,MAFSETF,70595.0,44457.0,18.62,18.63,8.28,EQ
230210,MAGADSUGAR,16903.0,10578.0,322.9,311.35,34.16,EQ
230210,MAGNUM,84422.0,49205.0,32.5,32.75,15.99,EQ
230210,MAHABANK,19884763.0,2514471.0,28.2,27.8,709.08,EQ
230210,MAHAPEXLTD,3981.0,3823.0,114.85,114.9,4.39,EQ
230210,MAHASTEEL,34320.0,16489.0,63.25,61.45,10.43,EQ
230210,MAHEPC,21183.0,11862.0,101.4,101.25,12.03,EQ
230210,MAHESHWARI,17946.0,13634.0,62.9,62.35,8.58,EQ
230210,MAHICKRA,1500.0,1500.0,97.5,99.9,1.46,SM
230210,MAHINDCIE,398814.0,109461.0,397.85,390.85,435.49,EQ
230210,MAHKTECH,897881.0,572966.0,15.43,16.0,88.41,EQ
230210,MAHLIFE,414883.0,195924.0,400.0,387.25,783.7,EQ
230210,MAHLOG,141005.0,94467.0,407.4,408.2,384.86,EQ
230210,MAHSCOOTER,2377.0,1605.0,4579.7,4521.95,73.5,EQ
230210,MAHSEAMLES,69202.0,37699.0,319.25,324.8,120.35,EQ
230210,MAITHANALL,31167.0,10172.0,1023.6,1040.5,104.12,EQ
230210,MALLCOM,24699.0,11930.0,762.4,711.8,90.95,EQ
230210,MALUPAPER,17469.0,12423.0,33.75,32.75,4.19,EQ
230210,MAM150ETF,14009.0,9125.0,11.79,11.77,1.08,EQ
230210,MAMFGETF,32228.0,31170.0,83.0,83.2,25.87,EQ
230210,MAN50ETF,11505.0,9941.0,186.73,186.89,18.56,EQ
230210,MANAKALUCO,209487.0,103572.0,23.05,21.45,23.87,EQ
230210,MANAKCOAT,32402.0,21180.0,18.3,17.7,3.88,EQ
230210,MANAKSIA,407732.0,290862.0,143.4,130.4,417.1,EQ
230210,MANAKSTEEL,327632.0,131961.0,46.0,43.25,60.7,EQ
230210,MANALIPETC,551477.0,305912.0,68.45,70.4,209.4,EQ
230210,MANAPPURAM,2607814.0,715053.0,113.85,114.4,814.09,EQ
230210,MANGALAM,90501.0,22744.0,118.2,115.6,26.88,EQ
230210,MANGCHEFER,202084.0,148000.0,78.35,79.25,115.96,EQ
230210,MANGLMCEM,14983.0,9657.0,272.65,272.55,26.33,EQ
230210,MANINDS,369007.0,197331.0,87.85,91.05,173.36,EQ
230210,MANINFRA,392501.0,209673.0,81.5,80.9,170.88,EQ
230210,MANOMAY,1292.0,1043.0,152.6,145.35,1.59,EQ
230210,MANORAMA,22157.0,19629.0,1065.2,984.0,209.09,EQ
230210,MANORG,5053.0,3716.0,430.5,432.55,16.0,EQ
230210,MANUGRAPH,86413.0,52822.0,19.3,19.95,10.19,EQ
230210,MANXT50,11678.0,11591.0,391.55,391.78,45.38,EQ
230210,MANYAVAR,107746.0,69180.0,1258.5,1219.5,870.63,EQ
230210,MAPMYINDIA,33928.0,13962.0,1099.15,1080.55,153.46,EQ
230210,MARALOVER,22168.0,12904.0,52.55,54.25,6.78,EQ
230210,MARATHON,10359.0,8138.0,253.8,249.9,20.65,EQ
230210,MARICO,665580.0,435253.0,495.15,494.2,2155.16,EQ
230210,MARKSANS,1545542.0,688567.0,64.85,62.4,446.54,EQ
230210,MARSHALL,600016.0,343437.0,39.55,38.6,135.83,EQ
230210,MARUTI,276298.0,126448.0,8811.35,8801.2,11141.78,EQ
230210,MASFIN,16533.0,5653.0,833.35,814.0,47.11,EQ
230210,MASPTOP50,461850.0,391100.0,27.63,27.94,108.06,EQ
230210,MASTEK,27789.0,14654.0,1592.5,1601.05,233.36,EQ
230210,MATRIMONY,6223.0,3907.0,553.15,557.7,21.61,EQ
230210,MAWANASUG,123153.0,49294.0,87.15,84.45,42.96,EQ
230210,MAXHEALTH,778807.0,546714.0,437.4,440.5,2391.33,EQ
230210,MAXIND,33554.0,16764.0,89.2,89.45,14.95,EQ
230210,MAXVIL,73934.0,44350.0,134.9,136.8,59.83,EQ
230210,MAYURUNIQ,104029.0,57504.0,474.1,455.05,272.63,EQ
230210,MAZDA,1549.0,698.0,638.45,622.65,4.46,EQ
230210,MAZDOCK,1417493.0,164299.0,722.9,718.75,1187.72,EQ
230210,MCDOWELL-N,1339250.0,1024582.0,780.05,791.9,7992.25,EQ
230210,MCL,11835.0,9378.0,27.6,28.05,2.59,EQ
230210,MCLEODRUSS,725037.0,442879.0,22.9,23.2,101.42,EQ
230210,MCX,232459.0,73346.0,1426.9,1410.0,1046.57,EQ
230210,MEDANTA,873473.0,593898.0,454.8,449.95,2701.05,EQ
230210,MEDICAMEQ,5184.0,3687.0,733.5,758.3,27.04,EQ
230210,MEDPLUS,324691.0,134528.0,664.9,656.25,894.48,EQ
230210,MEGASOFT,319019.0,152721.0,29.5,31.85,45.05,EQ
230210,MEGASTAR,1908.0,1202.0,237.65,236.0,2.86,EQ
230210,MENONBE,39259.0,28268.0,103.6,105.6,29.29,EQ
230210,MEP,160991.0,107599.0,16.1,16.65,17.32,EQ
230210,METROBRAND,116305.0,38416.0,802.1,784.75,308.13,EQ
230210,METROPOLIS,198431.0,61739.0,1286.75,1288.15,794.43,EQ
230210,MFL,33789.0,9221.0,1060.25,1051.75,97.77,EQ
230210,MFSL,481220.0,275874.0,743.15,745.2,2050.16,EQ
230210,MGEL,1689649.0,1044665.0,24.9,31.1,260.12,EQ
230210,MGL,193924.0,59509.0,901.35,893.3,536.38,EQ
230210,MHHL,21000.0,18000.0,53.6,55.0,9.65,SM
